Time	Humidity (%)	Temperature (C)
13:18:40	18.0	13.0
13:18:41	18.0	13.0
13:18:42	18.0	13.0
13:18:43	18.0	13.0
13:18:44	18.0	13.0
13:18:45	18.0	13.0
13:18:46	18.0	13.0
13:18:47	18.0	13.0
13:18:48	18.0	13.0
13:18:49	18.0	13.0
13:18:50	18.0	13.0
13:18:51	18.0	13.0
13:18:52	18.0	13.0
13:18:53	18.0	13.0
13:18:54	18.0	13.0
13:18:55	18.0	13.0
13:18:56	18.0	13.0
13:18:57	18.0	13.0
13:18:58	18.0	13.0
13:18:59	18.0	14.0
13:19:01	18.0	14.0
13:19:02	18.0	14.0
13:19:03	18.0	14.0
13:19:04	18.0	14.0
13:19:05	18.0	14.0
13:19:06	18.0	14.0
13:19:07	18.0	14.0
13:19:08	18.0	14.0
13:19:09	18.0	14.0
13:19:10	18.0	14.0
13:19:11	18.0	14.0
13:19:12	18.0	14.0
13:19:13	18.0	14.0
13:19:14	18.0	14.0
13:19:15	18.0	14.0
13:19:16	18.0	14.0
13:19:17	18.0	14.0
13:19:18	18.0	14.0
13:19:19	18.0	14.0
13:19:20	18.0	14.0
13:19:21	18.0	14.0
13:19:23	19.0	14.0
13:19:24	19.0	14.0
13:19:25	18.0	15.0
13:19:26	19.0	15.0
13:19:27	19.0	15.0
13:19:28	19.0	15.0
13:19:29	19.0	15.0
13:19:30	19.0	15.0
13:19:31	19.0	15.0
13:19:32	19.0	15.0
13:19:33	19.0	15.0
13:19:34	19.0	15.0
13:19:35	19.0	15.0
13:19:36	19.0	15.0
13:19:37	19.0	15.0
13:19:38	19.0	15.0
13:19:39	19.0	15.0
13:19:40	19.0	15.0
13:19:41	19.0	15.0
13:19:42	18.0	15.0
13:19:43	18.0	15.0
13:19:45	18.0	15.0
13:19:46	19.0	15.0
13:19:47	18.0	15.0
13:19:48	18.0	16.0
13:19:49	19.0	16.0
13:19:50	18.0	16.0
13:19:51	19.0	16.0
13:19:52	18.0	16.0
13:19:53	19.0	16.0
13:19:54	19.0	16.0
13:19:55	18.0	16.0
13:19:56	19.0	16.0
13:19:57	18.0	16.0
13:19:58	18.0	16.0
13:19:59	18.0	16.0
13:20:00	18.0	16.0
13:20:01	18.0	16.0
13:20:02	20.0	16.0
13:20:03	18.0	16.0
13:20:04	18.0	16.0
13:20:05	20.0	16.0
13:20:07	18.0	16.0
13:20:08	18.0	16.0
13:20:09	18.0	16.0
13:20:10	18.0	17.0
13:20:11	20.0	17.0
13:20:12	18.0	17.0
13:20:13	19.0	17.0
13:20:14	18.0	17.0
13:20:15	20.0	17.0
13:20:16	19.0	17.0
13:20:17	19.0	17.0
13:20:18	19.0	17.0
13:20:19	20.0	17.0
13:20:20	19.0	17.0
13:20:21	19.0	17.0
13:20:22	19.0	17.0
13:20:23	19.0	17.0
13:20:24	20.0	17.0
13:20:25	19.0	17.0
13:20:26	19.0	17.0
13:20:27	19.0	17.0
13:20:29	19.0	17.0
13:20:30	19.0	17.0
13:20:31	19.0	17.0
13:20:32	19.0	17.0
13:20:33	19.0	18.0
13:20:34	19.0	18.0
13:20:35	19.0	18.0
13:20:36	19.0	18.0
13:20:37	19.0	18.0
13:20:38	19.0	18.0
13:20:39	19.0	18.0
13:20:40	19.0	18.0
13:20:41	19.0	18.0
13:20:42	19.0	18.0
13:20:43	19.0	18.0
13:20:44	19.0	18.0
13:20:45	19.0	18.0
13:20:46	19.0	18.0
13:20:47	19.0	18.0
13:20:48	19.0	18.0
13:20:49	19.0	18.0
13:20:51	19.0	18.0
13:20:52	19.0	18.0
13:20:53	19.0	18.0
13:20:54	19.0	18.0
13:20:55	19.0	19.0
13:20:56	19.0	19.0
13:20:57	19.0	19.0
13:20:58	19.0	19.0
13:20:59	19.0	19.0
13:21:00	19.0	19.0
13:21:01	20.0	19.0
13:21:02	19.0	19.0
13:21:03	19.0	19.0
13:21:04	19.0	19.0
13:21:05	19.0	19.0
13:21:06	19.0	19.0
